surveyid,country,year,eppregion,prev,se,ci_l,ci_u,var,n,deff
ZM2002DHS,Zambia,2002,Central,0.153345577,0.015242839,0.125733434,0.185733348,0.000232344,547,0.978907383
ZM2002DHS,Zambia,2002,Copperbelt,0.199275138,0.018175773,0.165942921,0.237396974,0.000330359,477,0.987569627
ZM2002DHS,Zambia,2002,Eastern,0.137462855,0.017712625,0.106189328,0.176131711,0.000313737,377,0.9975715
ZM2002DHS,Zambia,2002,Luapula,0.112108274,0.017514439,0.081993444,0.151458916,0.000306756,320,0.986154061
ZM2002DHS,Zambia,2002,Lusaka,0.220266592,0.020160877,0.183194909,0.262429902,0.000406461,422,0.998703329
ZM2002DHS,Zambia,2002,Muchinga,0.083103985,0.010968591,0.063947064,0.107341723,0.00012031,592,0.934719904
ZM2002DHS,Zambia,2002,North Western,0.091628042,0.013940732,0.067664164,0.122959647,0.000194344,425,0.992357111
ZM2002DHS,Zambia,2002,Northern,0.083103985,0.010968591,0.063947064,0.107341723,0.00012031,592,0.934719904
ZM2002DHS,Zambia,2002,Southern,0.176257486,0.019440739,0.141221526,0.217781316,0.000377942,384,0.999580379
ZM2002DHS,Zambia,2002,Western,0.130640011,0.01998169,0.096066304,0.175244312,0.000399268,268,0.942157163
ZM2007DHS,Zambia,2007,Central,0.176119551,0.016753674,0.144425634,0.213036809,0.000280686,952,1.84155766
ZM2007DHS,Zambia,2007,Copperbelt,0.169703085,0.017267265,0.137327335,0.207872396,0.000298158,1101,2.329760303
ZM2007DHS,Zambia,2007,Eastern,0.104962762,0.01435761,0.079264274,0.137746553,0.000206141,1383,3.034660802
ZM2007DHS,Zambia,2007,Luapula,0.13179748,0.012215405,0.108892247,0.158662913,0.000149216,1031,1.344454936
ZM2007DHS,Zambia,2007,Lusaka,0.209279377,0.017835073,0.175296048,0.2478707,0.00031809,1477,2.839100699
ZM2007DHS,Zambia,2007,Muchinga,0.048376521,0.012768501,0.026867185,0.085591235,0.000163035,460,1.629063017
ZM2007DHS,Zambia,2007,North Western,0.069557704,0.014270316,0.045511696,0.104911947,0.000203642,965,3.036405696
ZM2007DHS,Zambia,2007,Northern,0.08185004,0.014098386,0.057024692,0.11615172,0.000198764,783,2.070942576
ZM2007DHS,Zambia,2007,Southern,0.140884197,0.014651802,0.11359412,0.173447606,0.000214675,1206,2.139022635
ZM2007DHS,Zambia,2007,Western,0.150985443,0.017209322,0.119166103,0.189473468,0.000296161,1110,2.564485643
ZM2013DHS,Zambia,2013,Central,0.113029299,0.008861296,0.095918909,0.130937584,7.85E-05,2296,1.664944245
ZM2013DHS,Zambia,2013,Copperbelt,0.144626964,0.008811215,0.12747368,0.161833348,7.76E-05,2768,2.140995148
ZM2013DHS,Zambia,2013,Eastern,0.091453472,0.008903049,0.074536102,0.10954905,7.93E-05,3584,2.262156076
ZM2013DHS,Zambia,2013,Luapula,0.094962766,0.008457811,0.078891698,0.112512148,7.15E-05,2604,1.894848371
ZM2013DHS,Zambia,2013,Lusaka,0.16920822,0.012490572,0.145607196,0.194496298,1.56E-04,3322,4.17659593
ZM2013DHS,Zambia,2013,Muchinga,0.049632927,0.006820514,0.036811961,0.063539462,4.65E-05,2410,1.887682997
ZM2013DHS,Zambia,2013,North Western,0.057261156,0.007912463,0.043316819,0.074244084,6.26E-05,2573,2.900052423
ZM2013DHS,Zambia,2013,Northern,0.06827993,0.008019121,0.053432573,0.084885081,6.43E-05,2675,2.03708628
ZM2013DHS,Zambia,2013,Southern,0.126750261,0.011587091,0.105130309,0.150790262,1.34E-04,2991,2.54075856
ZM2013DHS,Zambia,2013,Western,0.147751811,0.013261928,0.123082637,0.175052925,1.76E-04,2077,2.095778763
ZM2016PHIA,Zambia,2016,Central,0.12402937,0.01223561,0.101968309,0.150065803,0.00014971,1442,1.987020872
ZM2016PHIA,Zambia,2016,Copperbelt,0.13158585,0.00778116,0.117070313,0.147600296,6.05E-05,2960,1.568354812
ZM2016PHIA,Zambia,2016,Eastern,0.07383015,0.00963073,0.057036435,0.095070051,9.28E-05,1701,2.307269572
ZM2016PHIA,Zambia,2016,Luapula,0.08919546,0.01201879,0.068277162,0.115726547,0.000144451,907,1.612726955
ZM2016PHIA,Zambia,2016,Lusaka,0.14407146,0.00759447,0.129816318,0.159604851,5.77E-05,3003,1.404542254
ZM2016PHIA,Zambia,2016,Muchinga,0.05336433,0.00807897,0.039573296,0.071603138,6.53E-05,1578,2.038849005
ZM2016PHIA,Zambia,2016,North Western,0.06443075,0.00650885,0.052790098,0.078425735,4.24E-05,1614,1.134339175
ZM2016PHIA,Zambia,2016,Northern,0.09364245,0.00935211,0.076851433,0.113650431,8.75E-05,1338,1.378805483
ZM2016PHIA,Zambia,2016,Southern,0.12490109,0.00816508,0.109756608,0.141802391,6.67E-05,1982,1.208930035
ZM2016PHIA,Zambia,2016,Western,0.15363274,0.01893699,0.120063448,0.194513105,0.00035861,843,2.324913734